STATE_FIPS,STATE_NAME,cbg_count,total_renters,burden_30_plus,burden_50_plus,burden_under_20,not_computed,rent_burden_ratio_30_plus,severe_burden_ratio_50_plus,low_burden_ratio_under_20
6,California,23212,5889686,3066434,1567929,1201750,291412,0.5206447338618732,0.2662160597356124,0.20404313574611618
48,Texas,15811,3686845,1634450,770775,916212,266448,0.4433194235179401,0.20906086369239824,0.2485084130198042
36,New York,15463,3385432,1665779,897953,815218,194633,0.4920432606532933,0.26524030020393263,0.24080176473785325
12,Florida,11442,2677470,1405485,711418,489560,180524,0.5249302513193426,0.26570531135736347,0.18284425222318085
17,Illinois,9691,1643419,733060,374102,423253,115752,0.4460578829866273,0.2276364092176128,0.2575441807597454
39,Ohio,9238,1587312,661137,330378,447627,114509,0.4165135776709305,0.20813677462275848,0.28200316005927
42,Pennsylvania,9740,1572128,692584,357102,411889,120562,0.44053919273748704,0.2271456268191903,0.2619945704166582
13,Georgia,5533,1381025,623753,305356,339394,107859,0.45165945583896017,0.22110823482558245,0.245755145634583
37,North Carolina,6155,1379548,597082,284470,349580,120534,0.4328098768582173,0.20620522084044918,0.25340183886316386
34,New Jersey,6320,1167634,568810,295666,270101,61066,0.4871475136900775,0.2532180460658049,0.23132334275980315
26,Michigan,8205,1132342,510764,262671,283487,85602,0.4510686700661108,0.23197143619153932,0.2503545748545934
51,Virginia,5332,1063334,473294,224030,260809,73962,0.44510379617316853,0.21068638828439606,0.24527476785281013
53,Washington,4783,1055157,477435,223038,258038,55098,0.4524776881544642,0.21137897014377954,0.24454938933258275
25,Massachusetts,4985,984732,459710,228445,237804,55913,0.46683767766255185,0.23198697716739175,0.24149108589951376
4,Arizona,4178,914512,407143,196840,224872,65195,0.44520246863901186,0.21524047798169954,0.24589289150935142
47,Tennessee,4125,875045,373319,176453,216820,86906,0.4266283448279803,0.2016502008468136,0.24778154266352015
29,Missouri,4506,802535,332065,159588,222012,65224,0.413770115945099,0.1988548786034254,0.2766384020634614
18,Indiana,4814,794237,340314,164716,210947,65171,0.4284791567252596,0.20738897835280906,0.2655970447108357
55,Wisconsin,4489,777217,321922,156109,227464,45540,0.41419835129699945,0.2008563888849575,0.2926647255528379
8,Colorado,3532,747259,361985,172202,165483,36645,0.48441704951027686,0.23044486583634322,0.2214533381330971
24,Maryland,3926,730055,343994,169288,168545,38072,0.4711891569813233,0.23188389915828259,0.23086616761750828
27,Minnesota,4111,620733,268764,130332,164664,32770,0.43297843033961464,0.2099646708004891,0.265273475068991
41,Oregon,2634,606086,287983,145586,137762,35768,0.4751520411294767,0.24020683533359952,0.22729777622317626
22,Louisiana,3471,598292,279821,146297,129077,84051,0.467699718532088,0.24452441282851853,0.21574248026047482
45,South Carolina,3059,588023,255475,126652,138200,67401,0.4344642981652078,0.2153861328553475,0.23502482045770318
1,Alabama,3438,583145,239617,120887,143222,81304,0.4109046635056461,0.20730178600519597,0.24560272316490753
21,Kentucky,3285,568587,224120,110514,155884,65856,0.39417010941157643,0.1943660336940521,0.27416033078491064
40,Oklahoma,2965,508939,201123,95464,142100,55032,0.39518095488850336,0.1875745423321852,0.2792083137664828
32,Nevada,1836,479997,225449,106668,115967,25497,0.469688352218868,0.2222263889149307,0.24159942666308332
9,Connecticut,2585,465065,225481,116777,104982,27681,0.48483760334576886,0.25109823358025224,0.22573618741466248
5,Arkansas,2147,398616,158570,75590,107853,45792,0.3978013928191543,0.18963112368796034,0.2705686675898609
20,Kansas,2351,381104,153567,71444,109714,27667,0.402952999706117,0.1874658885763466,0.2878846719005836
72,Puerto Rico,2594,380029,111612,62310,47089,173528,0.29369337603182916,0.1639611713842891,0.12390896484215679
19,Iowa,2630,366250,144739,72505,107699,30111,0.39519180887372013,0.19796587030716722,0.29405870307167237
28,Mississippi,2164,351553,146041,74900,79689,55318,0.4154167365944822,0.21305464609888125,0.2266770586511849
49,Utah,1690,291614,122572,54516,79737,16797,0.420322755423265,0.18694575706241812,0.27343337425500835
31,Nebraska,1633,257497,99896,45798,78994,19332,0.3879501508755442,0.17785838281611047,0.3067763896278403
35,New Mexico,1449,252353,108611,54074,63120,27768,0.4303931397684989,0.21427920413072166,0.25012581582148813
54,West Virginia,1592,196432,75560,39039,46842,36656,0.3846623768021504,0.1987405310743667,0.23846420135212185
16,Idaho,963,189292,79697,36641,49679,16935,0.421026773450542,0.1935686663990026,0.26244637913910784
15,Hawaii,875,189047,95189,48495,38735,14627,0.503520288605479,0.2565235100266071,0.20489613693949124
11,District of Columbia,450,166019,72371,36121,43351,9494,0.43591998506195073,0.2175714827820912,0.26112071509887425
44,Rhode Island,815,160997,71570,34581,38887,10302,0.44454244489027744,0.21479282222650112,0.2415386622110971
23,Maine,1086,155162,65889,29896,36596,13541,0.4246464984983437,0.19267604181436176,0.23585671749526302
33,New Hampshire,922,153859,67366,31505,37678,8001,0.43784244015624696,0.20476540208892557,0.24488655197291026
30,Montana,842,136400,54844,26529,37489,13397,0.40208211143695016,0.1944941348973607,0.27484604105571847
38,North Dakota,572,119840,42807,20923,41125,9319,0.3572012683578104,0.1745911214953271,0.3431658878504673
46,South Dakota,654,110790,40385,18644,34683,9743,0.36451845834461594,0.1682823359508981,0.3130517194692662
10,Delaware,574,104542,47537,23779,26629,7754,0.45471676455395915,0.2274588203784125,0.2547205907673471
2,Alaska,534,90350,36607,16574,24202,7998,0.4051687880464859,0.1834421693414499,0.2678693967902601
50,Vermont,522,76030,35561,17635,16444,5749,0.4677232671313955,0.23194791529659345,0.21628304616598712
56,Wyoming,410,68129,25214,11323,19607,7041,0.37009203129357543,0.16619941581411735,0.28779227641679755
